"Package","Dataset","Description"
"locfit","trimod","Generated sample from a bivariate trimodal normal mixture"
"loo","Kline","Datasets for loo examples and vignettes"
"loo","milk","Datasets for loo examples and vignettes"
"loo","voice","Datasets for loo examples and vignettes"
"loo","voice_loo","Datasets for loo examples and vignettes"
"lubridate","lakers","Lakers 2008-2009 basketball data set"
"MALDIquant","fiedler2009subset","Example Mass Spectra (raw)"
"maps","canada.cities","Database of Canadian cities"
"maps","county.fips","FIPS county codes for US County Map"
"maps","countyMapEnv","United States County Map"
"maps","franceMapEnv","France Map"
"maps","iso3166","ISO 3166 country codes (2 or 3 letters) and sovereignty."
"maps","italyMapEnv","Italy Map"
"maps","lakesMapEnv","World lakes database"
"maps","nzMapEnv","New Zealand Basic Map"
"maps","ozone","Sample datasets"
"maps","state.carto.center","United States State Population Cartogram Map"
"maps","state.cartoMapEnv","United States State Population Cartogram Map"
"maps","state.fips","FIPS state codes for US 48 State Map"
"maps","state.vbm.center","United States State Visibility Base Map"
"maps","state.vbmMapEnv","United States State Visibility Base Map"
"maps","stateMapEnv","United States State Boundaries Map"
"maps","unemp","Sample datasets"
"maps","us.cities","Database of US cities"
"maps","usaMapEnv","United States Coast Map"
"maps","votes.repub","Sample datasets"
"maps","world.cities","Database of world cities"
"maps","world2MapEnv","Pacific Centric Low resolution World Map"
"maps","worldMapEnv","Low (mid) resolution World Map"
"maptools","SplashDams","Data for Splash Dams in western Oregon"
"maptools","h1pl (gpcholes)","Hisaji Ono's lake/hole problem"
"maptools","h2pl (gpcholes)","Hisaji Ono's lake/hole problem"
"maptools","state.vbm","US State Visibility Based Map"
"maptools","wrld_simpl","Simplified world country polygons"
"MASS","Aids2","Australian AIDS Survival Data"
"MASS","Animals","Brain and Body Weights for 28 Species"
"MASS","Boston","Housing Values in Suburbs of Boston"
"MASS","Cars93","Data from 93 Cars on Sale in the USA in 1993"
"MASS","Cushings","Diagnostic Tests on Patients with Cushing's Syndrome"
"MASS","DDT","DDT in Kale"
"MASS","GAGurine","Level of GAG in Urine of Children"
"MASS","Insurance","Numbers of Car Insurance claims"
"MASS","Melanoma","Survival from Malignant Melanoma"
"MASS","OME","Tests of Auditory Perception in Children with OME"
"MASS","Pima.te","Diabetes in Pima Indian Women"
"MASS","Pima.tr","Diabetes in Pima Indian Women"
"MASS","Pima.tr2","Diabetes in Pima Indian Women"
"MASS","Rabbit","Blood Pressure in Rabbits"
"MASS","Rubber","Accelerated Testing of Tyre Rubber"
"MASS","SP500","Returns of the Standard and Poors 500"
"MASS","Sitka","Growth Curves for Sitka Spruce Trees in 1988"
"MASS","Sitka89","Growth Curves for Sitka Spruce Trees in 1989"
"MASS","Skye","AFM Compositions of Aphyric Skye Lavas"
"MASS","Traffic","Effect of Swedish Speed Limits on Accidents"
"MASS","UScereal","Nutritional and Marketing Information on US Cereals"
"MASS","UScrime","The Effect of Punishment Regimes on Crime Rates"
"MASS","VA","Veteran's Administration Lung Cancer Trial"
"MASS","abbey","Determinations of Nickel Content"
"MASS","accdeaths","Accidental Deaths in the US 1973-1978"
"MASS","anorexia","Anorexia Data on Weight Change"
"MASS","bacteria","Presence of Bacteria after Drug Treatments"
"MASS","beav1","Body Temperature Series of Beaver 1"
"MASS","beav2","Body Temperature Series of Beaver 2"
"MASS","biopsy","Biopsy Data on Breast Cancer Patients"
"MASS","birthwt","Risk Factors Associated with Low Infant Birth Weight"
"MASS","cabbages","Data from a cabbage field trial"
"MASS","caith","Colours of Eyes and Hair of People in Caithness"
"MASS","cats","Anatomical Data from Domestic Cats"
"MASS","cement","Heat Evolved by Setting Cements"
"MASS","chem","Copper in Wholemeal Flour"
"MASS","coop","Co-operative Trial in Analytical Chemistry"
"MASS","cpus","Performance of Computer CPUs"
"MASS","crabs","Morphological Measurements on Leptograpsus Crabs"
"MASS","deaths","Monthly Deaths from Lung Diseases in the UK"
"MASS","drivers","Deaths of Car Drivers in Great Britain 1969-84"
"MASS","eagles","Foraging Ecology of Bald Eagles"
"MASS","epil","Seizure Counts for Epileptics"
"MASS","farms","Ecological Factors in Farm Management"
"MASS","fgl","Measurements of Forensic Glass Fragments"
"MASS","forbes","Forbes' Data on Boiling Points in the Alps"
"MASS","galaxies","Velocities for 82 Galaxies"
"MASS","gehan","Remission Times of Leukaemia Patients"
"MASS","genotype","Rat Genotype Data"
"MASS","geyser","Old Faithful Geyser Data"
"MASS","gilgais","Line Transect of Soil in Gilgai Territory"
"MASS","hills","Record Times in Scottish Hill Races"
"MASS","housing","Frequency Table from a Copenhagen Housing Conditions Survey"
"MASS","immer","Yields from a Barley Field Trial"
"MASS","leuk","Survival Times and White Blood Counts for Leukaemia Patients"
"MASS","mammals","Brain and Body Weights for 62 Species of Land Mammals"
"MASS","mcycle","Data from a Simulated Motorcycle Accident"
"MASS","menarche","Age of Menarche in Warsaw"
"MASS","michelson","Michelson's Speed of Light Data"
"MASS","minn38","Minnesota High School Graduates of 1938"
"MASS","motors","Accelerated Life Testing of Motorettes"
"MASS","muscle","Effect of Calcium Chloride on Muscle Contraction in Rat Hearts"
"MASS","newcomb","Newcomb's Measurements of the Passage Time of Light"
"MASS","nlschools","Eighth-Grade Pupils in the Netherlands"
"MASS","npk","Classical N, P, K Factorial Experiment"
"MASS","npr1","US Naval Petroleum Reserve No. 1 data"
"MASS","oats","Data from an Oats Field Trial"
"MASS","painters","The Painter's Data of de Piles"
"MASS","petrol","N. L. Prater's Petrol Refinery Data"
"MASS","phones","Belgium Phone Calls 1950-1973"
"MASS","quine","Absenteeism from School in Rural New South Wales"
"MASS","road","Road Accident Deaths in US States"
"MASS","rotifer","Numbers of Rotifers by Fluid Density"
"MASS","ships","Ships Damage Data"
"MASS","shoes","Shoe wear data of Box, Hunter and Hunter"
"MASS","shrimp","Percentage of Shrimp in Shrimp Cocktail"
"MASS","shuttle","Space Shuttle Autolander Problem"
"MASS","snails","Snail Mortality Data"
"MASS","steam","The Saturated Steam Pressure Data"
"MASS","stormer","The Stormer Viscometer Data"
"MASS","survey","Student Survey Data"
"MASS","synth.te","Synthetic Classification Problem"
"MASS","synth.tr","Synthetic Classification Problem"
"MASS","topo","Spatial Topographic Data"
"MASS","waders","Counts of Waders at 15 Sites in South Africa"
"MASS","whiteside","House Insulation: Whiteside's Data"
"MASS","wtloss","Weight Loss Data from an Obese Patient"
"MassSpecWavelet","exampleMS","An example mass spectrum"
"Matrix","CAex","Albers' example Matrix with ""Difficult"" Eigen Factorization"
"Matrix","KNex","Koenker-Ng Example Sparse Model Matrix and Response Vector"
"Matrix","USCounties","USCounties Contiguity Matrix"
"Matrix","wrld_1deg","World 1-degree grid contiguity matrix"
"metap","dat.metap","Example data"
"mgcv","columb","Reduced version of Columbus OH crime data"
"mgcv","columb.polys","Reduced version of Columbus OH crime data"
"mice","boys","Growth of Dutch boys"
"mice","brandsma","Brandsma school data used Snijders and Bosker (2012)"
"mice","employee","Employee selection data"
"mice","fdd","SE Fireworks disaster data"
"mice","fdd.pred","SE Fireworks disaster data"
"mice","fdgs","Fifth Dutch growth study 2009"
"mice","leiden85","Leiden 85+ study"
"mice","mammalsleep","Mammal sleep data"
"mice","mnar_demo_data","MNAR demo data"
"mice","nhanes","NHANES example - all variables numerical"
"mice","nhanes2","NHANES example - mixed numerical and discrete variables"
"mice","pattern1","Datasets with various missing data patterns"
"mice","pattern2","Datasets with various missing data patterns"
"mice","pattern3","Datasets with various missing data patterns"
"mice","pattern4","Datasets with various missing data patterns"
"mice","popmis","Hox pupil popularity data with missing popularity scores"
"mice","pops","Project on preterm and small for gestational age infants (POPS)"
"mice","pops.pred","Project on preterm and small for gestational age infants (POPS)"
"mice","potthoffroy","Potthoff-Roy data"
"mice","selfreport","Self-reported and measured BMI"
"mice","tbc","Terneuzen birth cohort"
"mice","tbc.target","Terneuzen birth cohort"
"mice","toenail","Toenail data"
"mice","toenail2","Toenail data"
"mice","walking","Walking disability data"
"mice","windspeed","Subset of Irish wind speed data"
"mitml","justice","Example data set on employees' justice perceptions and satisfaction"
"mitml","leadership","Example data set on leadership style and job satisfaction"
"mitml","studentratings","Example data set on student ratings and achievement"
"mitools","pisamaths","Maths Performance Data from the PISA 2012 survey in New Zealand"
"mitools","smi","Multiple imputations"
"modeldata","Chicago","Chicago ridership data"
"modeldata","Sacramento","Sacramento CA home prices"
"modeldata","Smithsonian","Smithsonian museums"
"modeldata","ad_data","Alzheimer's disease data"
"modeldata","ames","Ames Housing Data"
"modeldata","attrition","Job attrition"
"modeldata","biomass","Biomass data"
"modeldata","bivariate_test (bivariate)","Example bivariate classification data"
"modeldata","bivariate_train (bivariate)","Example bivariate classification data"
"modeldata","bivariate_val (bivariate)","Example bivariate classification data"
"modeldata","car_prices","Kelly Blue Book resale data for 2005 model year GM cars"
"modeldata","cat_adoption","Cat Adoption"
"modeldata","cells","Cell body segmentation"
"modeldata","check_times","Execution time data"
"modeldata","chem_proc_yield","Chemical manufacturing process data set"
"modeldata","concrete","Compressive strength of concrete mixtures"
"modeldata","covers","Raw cover type data"
"modeldata","credit_data","Credit data"
"modeldata","crickets","Rates of Cricket Chirps"
"modeldata","deliveries","Food Delivery Time Data"
"modeldata","drinks","Sample time series data"
"modeldata","grants_2008 (grants)","Grant acceptance data"
"modeldata","grants_other (grants)","Grant acceptance data"
"modeldata","grants_test (grants)","Grant acceptance data"
"modeldata","hepatic_injury_qsar","Predicting hepatic injury from chemical information"
"modeldata","hotel_rates","Daily Hotel Rate Data"
"modeldata","hpc_cv","Class probability predictions"
"modeldata","hpc_data","High-performance computing system data"
"modeldata","ischemic_stroke","Clinical data used to predict ischemic stroke"
"modeldata","leaf_id_flavia","Leaf identification data (Flavia)"
"modeldata","lending_club","Loan data"
"modeldata","meats","Fat, water and protein content of meat samples"
"modeldata","mlc_churn","Customer churn data"
"modeldata","oils","Fatty acid composition of commercial oils"
"modeldata","parabolic","Parabolic class boundary data"
"modeldata","pathology","Liver pathology data"
"modeldata","pd_speech","Parkinson's disease speech classification data set"
"modeldata","penguins","Palmer Station penguin data"
"modeldata","permeability_qsar","Predicting permeability from chemical information"
"modeldata","scat","Morphometric data on scat"
"modeldata","solubility_test","Solubility predictions from MARS model"
"modeldata","stackoverflow","Annual Stack Overflow Developer Survey Data"
"modeldata","stations (Chicago)","Chicago ridership data"
"modeldata","steroidogenic_toxicity","Predicting steroidogenic toxicity with assay data"
"modeldata","tate_text","Tate Gallery modern artwork metadata"
"modeldata","taxi","Chicago taxi data set"
"modeldata","testing_data (small_fine_foods)","Fine foods example data"
"modeldata","training_data (small_fine_foods)","Fine foods example data"
"modeldata","two_class_dat","Two class data"
"modeldata","two_class_example","Two class predictions"
"modeldata","wa_churn","Watson churn data"
"ModelMetrics","testDF","Test data"
"modelr","heights","Height and income data."
"modelr","sim1","Simple simulated datasets"
"modelr","sim2","Simple simulated datasets"
"modelr","sim3","Simple simulated datasets"
"modelr","sim4","Simple simulated datasets"
"MotrpacRatTraining6mo","STOPWORDS","Stop words"
"MotrpacRatTraining6moData","ACETYL_HEART_DA","Differential analysis of proteomics datasets"
"MotrpacRatTraining6moData","ACETYL_HEART_NORM_DATA","Normalized protein acetylation data"
"MotrpacRatTraining6moData","ACETYL_LIVER_DA","Differential analysis of proteomics datasets"
"MotrpacRatTraining6moData","ACETYL_LIVER_NORM_DATA","Normalized protein acetylation data"
"MotrpacRatTraining6moData","ACETYL_META","Proteomics sample-level metadata"
"MotrpacRatTraining6moData","ASSAY_ABBREV","Assay or ""ome"" abbreviations"
"MotrpacRatTraining6moData","ASSAY_ABBREV_TO_CODE","Assay abbreviation-to-code mapping"
"MotrpacRatTraining6moData","ASSAY_CODE_TO_ABBREV","Assay code-to-abbreviation mapping"
"MotrpacRatTraining6moData","ASSAY_COLORS","Assay colors"
"MotrpacRatTraining6moData","ASSAY_ORDER","Assay order"
"MotrpacRatTraining6moData","ATAC_BAT_NORM_DATA_05FDR","Normalized ATAC-seq data for training-regulated features"
"MotrpacRatTraining6moData","ATAC_HEART_NORM_DATA_05FDR","Normalized ATAC-seq data for training-regulated features"
"MotrpacRatTraining6moData","ATAC_HIPPOC_NORM_DATA_05FDR","Normalized ATAC-seq data for training-regulated features"
"MotrpacRatTraining6moData","ATAC_KIDNEY_NORM_DATA_05FDR","Normalized ATAC-seq data for training-regulated features"
"MotrpacRatTraining6moData","ATAC_LIVER_NORM_DATA_05FDR","Normalized ATAC-seq data for training-regulated features"
"MotrpacRatTraining6moData","ATAC_LUNG_NORM_DATA_05FDR","Normalized ATAC-seq data for training-regulated features"
"MotrpacRatTraining6moData","ATAC_META","ATAC-seq metadata and QC"
"MotrpacRatTraining6moData","ATAC_SKMGN_NORM_DATA_05FDR","Normalized ATAC-seq data for training-regulated features"
"MotrpacRatTraining6moData","ATAC_WATSC_NORM_DATA_05FDR","Normalized ATAC-seq data for training-regulated features"
"MotrpacRatTraining6moData","FEATURE_TO_GENE","Feature-to-gene map"
"MotrpacRatTraining6moData","FEATURE_TO_GENE_FILT","Filtered feature-to-gene map"
"MotrpacRatTraining6moData","GENE_UNIVERSES","Gene-centric universes"
"MotrpacRatTraining6moData","GRAPH_COMPONENTS","Graph components"
"MotrpacRatTraining6moData","GRAPH_PW_ENRICH","Graph pathway enrichment results"
"MotrpacRatTraining6moData","GRAPH_STATES","'repfdr' state assignments"
"MotrpacRatTraining6moData","GROUP_COLORS","Intervention group colors"
"MotrpacRatTraining6moData","IMMUNO_ADRNL_DA","Differential analysis of multiplexed immunoassays"
"MotrpacRatTraining6moData","IMMUNO_BAT_DA","Differential analysis of multiplexed immunoassays"
"MotrpacRatTraining6moData","IMMUNO_COLON_DA","Differential analysis of multiplexed immunoassays"
"MotrpacRatTraining6moData","IMMUNO_CORTEX_DA","Differential analysis of multiplexed immunoassays"
"MotrpacRatTraining6moData","IMMUNO_HEART_DA","Differential analysis of multiplexed immunoassays"
"MotrpacRatTraining6moData","IMMUNO_HIPPOC_DA","Differential analysis of multiplexed immunoassays"
"MotrpacRatTraining6moData","IMMUNO_KIDNEY_DA","Differential analysis of multiplexed immunoassays"
"MotrpacRatTraining6moData","IMMUNO_LIVER_DA","Differential analysis of multiplexed immunoassays"
"MotrpacRatTraining6moData","IMMUNO_LUNG_DA","Differential analysis of multiplexed immunoassays"
"MotrpacRatTraining6moData","IMMUNO_META","Multiplexed immunoassay metadata and QC"
"MotrpacRatTraining6moData","IMMUNO_NORM_DATA_FLAT","Combined immunoassay data used for visualization"
"MotrpacRatTraining6moData","IMMUNO_NORM_DATA_NESTED","Processed immunoassay data used for differential analysis"
"MotrpacRatTraining6moData","IMMUNO_OVARY_DA","Differential analysis of multiplexed immunoassays"
"MotrpacRatTraining6moData","IMMUNO_PLASMA_DA","Differential analysis of multiplexed immunoassays"
"MotrpacRatTraining6moData","IMMUNO_SKMGN_DA","Differential analysis of multiplexed immunoassays"
"MotrpacRatTraining6moData","IMMUNO_SKMVL_DA","Differential analysis of multiplexed immunoassays"
"MotrpacRatTraining6moData","IMMUNO_SMLINT_DA","Differential analysis of multiplexed immunoassays"
"MotrpacRatTraining6moData","IMMUNO_SPLEEN_DA","Differential analysis of multiplexed immunoassays"
"MotrpacRatTraining6moData","IMMUNO_TESTES_DA","Differential analysis of multiplexed immunoassays"
"MotrpacRatTraining6moData","IMMUNO_WATSC_DA","Differential analysis of multiplexed immunoassays"
"MotrpacRatTraining6moData","METAB_ADRNL_DA","Differential analysis of merged metabolomics datasets"
"MotrpacRatTraining6moData","METAB_ADRNL_DA_METAREG","Meta-regression of metabolomics differential analysis results"
"MotrpacRatTraining6moData","METAB_BAT_DA","Differential analysis of merged metabolomics datasets"
"MotrpacRatTraining6moData","METAB_BAT_DA_METAREG","Meta-regression of metabolomics differential analysis results"
"MotrpacRatTraining6moData","METAB_COLON_DA","Differential analysis of merged metabolomics datasets"
"MotrpacRatTraining6moData","METAB_COLON_DA_METAREG","Meta-regression of metabolomics differential analysis results"
"MotrpacRatTraining6moData","METAB_CORTEX_DA","Differential analysis of merged metabolomics datasets"
"MotrpacRatTraining6moData","METAB_CORTEX_DA_METAREG","Meta-regression of metabolomics differential analysis results"
"MotrpacRatTraining6moData","METAB_FEATURE_ID_MAP","Metabolite feature IDs and metadata"
"MotrpacRatTraining6moData","METAB_HEART_DA","Differential analysis of merged metabolomics datasets"
"MotrpacRatTraining6moData","METAB_HEART_DA_METAREG","Meta-regression of metabolomics differential analysis results"
"MotrpacRatTraining6moData","METAB_HIPPOC_DA","Differential analysis of merged metabolomics datasets"
"MotrpacRatTraining6moData","METAB_HIPPOC_DA_METAREG","Meta-regression of metabolomics differential analysis results"
"MotrpacRatTraining6moData","METAB_HYPOTH_DA","Differential analysis of merged metabolomics datasets"
"MotrpacRatTraining6moData","METAB_HYPOTH_DA_METAREG","Meta-regression of metabolomics differential analysis results"
"MotrpacRatTraining6moData","METAB_KIDNEY_DA","Differential analysis of merged metabolomics datasets"
"MotrpacRatTraining6moData","METAB_KIDNEY_DA_METAREG","Meta-regression of metabolomics differential analysis results"
"MotrpacRatTraining6moData","METAB_LIVER_DA","Differential analysis of merged metabolomics datasets"
"MotrpacRatTraining6moData","METAB_LIVER_DA_METAREG","Meta-regression of metabolomics differential analysis results"
"MotrpacRatTraining6moData","METAB_LUNG_DA","Differential analysis of merged metabolomics datasets"
"MotrpacRatTraining6moData","METAB_LUNG_DA_METAREG","Meta-regression of metabolomics differential analysis results"
"MotrpacRatTraining6moData","METAB_NORM_DATA_FLAT","Combined metabolomics data used for visualization"
"MotrpacRatTraining6moData","METAB_NORM_DATA_NESTED","Processed metabolomics data used for differential analysis"
"MotrpacRatTraining6moData","METAB_OVARY_DA","Differential analysis of merged metabolomics datasets"
"MotrpacRatTraining6moData","METAB_OVARY_DA_METAREG","Meta-regression of metabolomics differential analysis results"
"MotrpacRatTraining6moData","METAB_PLASMA_DA","Differential analysis of merged metabolomics datasets"
"MotrpacRatTraining6moData","METAB_PLASMA_DA_METAREG","Meta-regression of metabolomics differential analysis results"
"MotrpacRatTraining6moData","METAB_SKMGN_DA","Differential analysis of merged metabolomics datasets"
"MotrpacRatTraining6moData","METAB_SKMGN_DA_METAREG","Meta-regression of metabolomics differential analysis results"
"MotrpacRatTraining6moData","METAB_SKMVL_DA","Differential analysis of merged metabolomics datasets"
"MotrpacRatTraining6moData","METAB_SKMVL_DA_METAREG","Meta-regression of metabolomics differential analysis results"
"MotrpacRatTraining6moData","METAB_SMLINT_DA","Differential analysis of merged metabolomics datasets"
"MotrpacRatTraining6moData","METAB_SMLINT_DA_METAREG","Meta-regression of metabolomics differential analysis results"
"MotrpacRatTraining6moData","METAB_SPLEEN_DA","Differential analysis of merged metabolomics datasets"
"MotrpacRatTraining6moData","METAB_SPLEEN_DA_METAREG","Meta-regression of metabolomics differential analysis results"
"MotrpacRatTraining6moData","METAB_TESTES_DA","Differential analysis of merged metabolomics datasets"
"MotrpacRatTraining6moData","METAB_TESTES_DA_METAREG","Meta-regression of metabolomics differential analysis results"
"MotrpacRatTraining6moData","METAB_VENACV_DA","Differential analysis of merged metabolomics datasets"
"MotrpacRatTraining6moData","METAB_VENACV_DA_METAREG","Meta-regression of metabolomics differential analysis results"
"MotrpacRatTraining6moData","METAB_WATSC_DA","Differential analysis of merged metabolomics datasets"
"MotrpacRatTraining6moData","METAB_WATSC_DA_METAREG","Meta-regression of metabolomics differential analysis results"
"MotrpacRatTraining6moData","METHYL_BAT_NORM_DATA_05FDR","Normalized DNA methylation data for training-regulated features"
"MotrpacRatTraining6moData","METHYL_HEART_NORM_DATA_05FDR","Normalized DNA methylation data for training-regulated features"
"MotrpacRatTraining6moData","METHYL_HIPPOC_NORM_DATA_05FDR","Normalized DNA methylation data for training-regulated features"
"MotrpacRatTraining6moData","METHYL_KIDNEY_NORM_DATA_05FDR","Normalized DNA methylation data for training-regulated features"
"MotrpacRatTraining6moData","METHYL_LIVER_NORM_DATA_05FDR","Normalized DNA methylation data for training-regulated features"
"MotrpacRatTraining6moData","METHYL_LUNG_NORM_DATA_05FDR","Normalized DNA methylation data for training-regulated features"
"MotrpacRatTraining6moData","METHYL_META","RRBS metadata and QC"
"MotrpacRatTraining6moData","METHYL_SKMGN_NORM_DATA_05FDR","Normalized DNA methylation data for training-regulated features"
"MotrpacRatTraining6moData","METHYL_WATSC_NORM_DATA_05FDR","Normalized DNA methylation data for training-regulated features"
"MotrpacRatTraining6moData","OUTLIERS","Sample outliers"
"MotrpacRatTraining6moData","PATHWAY_PARENTS","KEGG and Reactome parent pathways"
"MotrpacRatTraining6moData","PHENO","Phenotypic data"
"MotrpacRatTraining6moData","PHOSPHO_CORTEX_DA","Differential analysis of proteomics datasets"
"MotrpacRatTraining6moData","PHOSPHO_CORTEX_NORM_DATA","Normalized protein phosphorylation data"
"MotrpacRatTraining6moData","PHOSPHO_HEART_DA","Differential analysis of proteomics datasets"
"MotrpacRatTraining6moData","PHOSPHO_HEART_NORM_DATA","Normalized protein phosphorylation data"
"MotrpacRatTraining6moData","PHOSPHO_KIDNEY_DA","Differential analysis of proteomics datasets"
"MotrpacRatTraining6moData","PHOSPHO_KIDNEY_NORM_DATA","Normalized protein phosphorylation data"
"MotrpacRatTraining6moData","PHOSPHO_LIVER_DA","Differential analysis of proteomics datasets"
"MotrpacRatTraining6moData","PHOSPHO_LIVER_NORM_DATA","Normalized protein phosphorylation data"
"MotrpacRatTraining6moData","PHOSPHO_LUNG_DA","Differential analysis of proteomics datasets"
"MotrpacRatTraining6moData","PHOSPHO_LUNG_NORM_DATA","Normalized protein phosphorylation data"
"MotrpacRatTraining6moData","PHOSPHO_META","Proteomics sample-level metadata"
"MotrpacRatTraining6moData","PHOSPHO_SKMGN_DA","Differential analysis of proteomics datasets"
"MotrpacRatTraining6moData","PHOSPHO_SKMGN_NORM_DATA","Normalized protein phosphorylation data"
"MotrpacRatTraining6moData","PHOSPHO_WATSC_DA","Differential analysis of proteomics datasets"
"MotrpacRatTraining6moData","PHOSPHO_WATSC_NORM_DATA","Normalized protein phosphorylation data"
"MotrpacRatTraining6moData","PROT_CORTEX_DA","Differential analysis of proteomics datasets"
"MotrpacRatTraining6moData","PROT_CORTEX_NORM_DATA","Normalized protein expression data"
"MotrpacRatTraining6moData","PROT_HEART_DA","Differential analysis of proteomics datasets"
"MotrpacRatTraining6moData","PROT_HEART_NORM_DATA","Normalized protein expression data"
"MotrpacRatTraining6moData","PROT_KIDNEY_DA","Differential analysis of proteomics datasets"
"MotrpacRatTraining6moData","PROT_KIDNEY_NORM_DATA","Normalized protein expression data"
"MotrpacRatTraining6moData","PROT_LIVER_DA","Differential analysis of proteomics datasets"
"MotrpacRatTraining6moData","PROT_LIVER_NORM_DATA","Normalized protein expression data"
"MotrpacRatTraining6moData","PROT_LUNG_DA","Differential analysis of proteomics datasets"
"MotrpacRatTraining6moData","PROT_LUNG_NORM_DATA","Normalized protein expression data"
"MotrpacRatTraining6moData","PROT_META","Proteomics sample-level metadata"
"MotrpacRatTraining6moData","PROT_SKMGN_DA","Differential analysis of proteomics datasets"
"MotrpacRatTraining6moData","PROT_SKMGN_NORM_DATA","Normalized protein expression data"
"MotrpacRatTraining6moData","PROT_WATSC_DA","Differential analysis of proteomics datasets"
"MotrpacRatTraining6moData","PROT_WATSC_NORM_DATA","Normalized protein expression data"
"MotrpacRatTraining6moData","RAT_TO_HUMAN_GENE","Rat-to-human gene ortholog map"
"MotrpacRatTraining6moData","RAT_TO_HUMAN_PHOSPHO","Rat-to-human phosphosite map"
"MotrpacRatTraining6moData","REPEATED_FEATURES","Repeated feature info"
"MotrpacRatTraining6moData","REPFDR_INPUTS","'repfdr' inputs"
"MotrpacRatTraining6moData","REPFDR_RES","'repfdr' results"
"MotrpacRatTraining6moData","SEX_COLORS","Sex colors"
"MotrpacRatTraining6moData","TISSUE_ABBREV","Tissue abbreviations"
"MotrpacRatTraining6moData","TISSUE_ABBREV_TO_CODE","Tissue abbreviation-to-code mapping"
"MotrpacRatTraining6moData","TISSUE_CODE_TO_ABBREV","Tissue code-to-abbreviation mapping"
"MotrpacRatTraining6moData","TISSUE_COLORS","Tissue colors"
"MotrpacRatTraining6moData","TISSUE_ORDER","Tissue order"
"MotrpacRatTraining6moData","TRAINING_REGULATED_FEATURES","Training-regulated features"
"MotrpacRatTraining6moData","TRAINING_REGULATED_NORM_DATA","Normalized data for training-regulated features"
"MotrpacRatTraining6moData","TRAINING_REGULATED_NORM_DATA_NO_OUTLIERS","Normalized data for training-regulated features"
"MotrpacRatTraining6moData","TRNSCRPT_ADRNL_DA","Differential analysis of RNA-seq datasets"
"MotrpacRatTraining6moData","TRNSCRPT_ADRNL_NORM_DATA","Normalized RNA-seq data"
"MotrpacRatTraining6moData","TRNSCRPT_ADRNL_RAW_COUNTS","RNA-seq raw counts"
"MotrpacRatTraining6moData","TRNSCRPT_BAT_DA","Differential analysis of RNA-seq datasets"
"MotrpacRatTraining6moData","TRNSCRPT_BAT_NORM_DATA","Normalized RNA-seq data"
"MotrpacRatTraining6moData","TRNSCRPT_BAT_RAW_COUNTS","RNA-seq raw counts"
"MotrpacRatTraining6moData","TRNSCRPT_BLOOD_DA","Differential analysis of RNA-seq datasets"
"MotrpacRatTraining6moData","TRNSCRPT_BLOOD_NORM_DATA","Normalized RNA-seq data"
"MotrpacRatTraining6moData","TRNSCRPT_BLOOD_RAW_COUNTS","RNA-seq raw counts"
"MotrpacRatTraining6moData","TRNSCRPT_COLON_DA","Differential analysis of RNA-seq datasets"
"MotrpacRatTraining6moData","TRNSCRPT_COLON_NORM_DATA","Normalized RNA-seq data"
"MotrpacRatTraining6moData","TRNSCRPT_COLON_RAW_COUNTS","RNA-seq raw counts"
"MotrpacRatTraining6moData","TRNSCRPT_CORTEX_DA","Differential analysis of RNA-seq datasets"
"MotrpacRatTraining6moData","TRNSCRPT_CORTEX_NORM_DATA","Normalized RNA-seq data"
"MotrpacRatTraining6moData","TRNSCRPT_CORTEX_RAW_COUNTS","RNA-seq raw counts"
"MotrpacRatTraining6moData","TRNSCRPT_HEART_DA","Differential analysis of RNA-seq datasets"
"MotrpacRatTraining6moData","TRNSCRPT_HEART_NORM_DATA","Normalized RNA-seq data"
"MotrpacRatTraining6moData","TRNSCRPT_HEART_RAW_COUNTS","RNA-seq raw counts"
"MotrpacRatTraining6moData","TRNSCRPT_HIPPOC_DA","Differential analysis of RNA-seq datasets"
"MotrpacRatTraining6moData","TRNSCRPT_HIPPOC_NORM_DATA","Normalized RNA-seq data"
"MotrpacRatTraining6moData","TRNSCRPT_HIPPOC_RAW_COUNTS","RNA-seq raw counts"
"MotrpacRatTraining6moData","TRNSCRPT_HYPOTH_DA","Differential analysis of RNA-seq datasets"
"MotrpacRatTraining6moData","TRNSCRPT_HYPOTH_NORM_DATA","Normalized RNA-seq data"
"MotrpacRatTraining6moData","TRNSCRPT_HYPOTH_RAW_COUNTS","RNA-seq raw counts"
"MotrpacRatTraining6moData","TRNSCRPT_KIDNEY_DA","Differential analysis of RNA-seq datasets"
"MotrpacRatTraining6moData","TRNSCRPT_KIDNEY_NORM_DATA","Normalized RNA-seq data"
"MotrpacRatTraining6moData","TRNSCRPT_KIDNEY_RAW_COUNTS","RNA-seq raw counts"
"MotrpacRatTraining6moData","TRNSCRPT_LIVER_DA","Differential analysis of RNA-seq datasets"
"MotrpacRatTraining6moData","TRNSCRPT_LIVER_NORM_DATA","Normalized RNA-seq data"
"MotrpacRatTraining6moData","TRNSCRPT_LIVER_RAW_COUNTS","RNA-seq raw counts"
"MotrpacRatTraining6moData","TRNSCRPT_LUNG_DA","Differential analysis of RNA-seq datasets"
"MotrpacRatTraining6moData","TRNSCRPT_LUNG_NORM_DATA","Normalized RNA-seq data"
